name,t90,t50
GRB070731,2.8600,1.8100
GRB121028A,2.8000,1.5800
GRB070913,2.6800,1.2300
GRB081016B,2.6200,1.1700
GRB100816A,2.5600,1.0100
GRB111210A,2.5200,2.1200
GRB060717,2.4600,0.9400
GRB050815,2.3800,1.4900
GRB090607,2.2900,1.8500
GRB100213A,2.2200,1.1800
GRB090927,2.1600,1.1200
GRB081024A,1.8200,0.4500
GRB080426,1.7300,0.6100
GRB100322B,1.5000,
GRB100724A,1.4200,0.6700
GRB051221A,1.4000,0.5500
GRB051210,1.3000,0.5600
GRB070809,1.2800,0.5100
GRB120403A,1.2500,0.7400
GRB090426,1.2400,0.4400
GRB080905A,1.0200,0.7700
GRB070729,0.9900,0.5600
GRB121226A,0.9000,0.5100
GRB101219A,0.8300,0.4100
GRB120804A,0.8100,0.3500
GRB111126A,0.8000,
GRB061201,0.7800,0.4300
GRB060313,0.7400,0.4800
GRB080919,0.6000,0.3300
GRB090815C,0.5800,0.2600
GRB120630A,0.5800,0.1300
GRB080702A,0.5100,0.1900
GRB110112A,0.5100,0.2100
GRB060801,0.5000,0.3200
GRB070429B,0.4900,0.3600
GRB111117A,0.4600,0.3400
GRB050813,0.4500,0.2600
GRB120521A,0.4500,0.2200
GRB081226A,0.4400,0.2000
GRB070724A,0.4300,0.2300
GRB111020A,0.4000,0.1900
GRB091117A,0.3840,0.1920
GRB101129A,0.3500,
GRB090305A,0.3500,0.2200
GRB071112B,0.3000,0.1300
GRB100117A,0.2900,0.1700
GRB091109B,0.2700,0.0900
GRB061217,0.2400,0.1000
GRB101224A,0.2400,0.1300
GRB120229A,0.2200,0.1600
GRB080121,0.1920,0.1280
GRB070923,0.1800,0.0300
GRB081101,0.1800,0.0900
GRB100702A,0.1600,0.0800
GRB050906,0.1530,0.0530
GRB060502B,0.1400,0.0500
GRB090621B,0.1400,0.0400
GRB100206A,0.1200,0.0600
GRB050202,0.1100,0.0500
GRB120305A,0.1000,0.0300
GRB050925,0.0900,0.0400
GRB110420B,0.0800,0.0400
GRB070209,0.0700,0.0400
GRB070810B,0.0700,0.0300
GRB090417A,0.0700,0.0300
GRB051105A,0.0600,0.0300
GRB080123,0.0400,0.0200
GRB090515,0.0400,0.0200
GRB100628A,0.0300,0.0200
GRB050509B,0.0200,0.0100
