T50,T90,Epk_bisector
73.15,174.7,351.5604405
6.912,30.85,252.9297996
0.092,0.591,200.4472027
30.53,48.38,135.8313447
23.55,55.23,122.179966
18.11,83.58,194.5360082
25.47,62.53,83.17637711
7.36,21.89,116.9499391
22.72,53.76,197.2422736
4.096,15.68,672.9766563
7.552,15.17,228.0342072
2.752,10.11,269.1534804
8.64,38.14,176.6037821
20.03,58.11,159.2208727
0.024,0.216,7673.614894
1.28,2.56,244.3430553
14.27,30.21,274.7894153
3.584,11.52,104.9542429
0.256,1.024,623.7348355
1.664,3.392,71.9448978
7.872,26.05,329.6097122
7.488,18.75,481.9477976
15.04,29.06,98.1747943
82.3,208.1,671.4288529
2.688,7.168,328.8516309
0.281,0.508,202.3019179
0.384,0.64,1164.126029
5.504,15.3,109.9005839
37.38,120.6,353.9973411
8.512,21.95,82.79421637
0.125,0.223,1011.579454
0.165,0.401,358.0964371
9.472,12.42,74.64487584
0.026,0.09,148.5935642
2.112,3.904,92.04495718
11.97,77.25,164.8162392
6.784,19.07,44.97798549
1.131,2.063,234.9632821
11.65,22.27,212.8139046
0.192,0.768,489.7788194
0.089,0.248,952.796164
46.66,61.38,95.06047937
49.15,80.13,71.9448978
1.024,19.2,721.1074792
2.24,4.416,16.03245391
0.418,0.708,820.3515443
92.03,154.4,344.3499308
0.026,0.051,129.1219274
0.04,0.177,774.4617978
0.229,0.391,598.4115951
0.128,0.128,753.3555637
18.18,96.7,142.2328787
8,22.53,112.4604974
51.01,74.37,139.9587323
8.832,20.54,122.179966
40,135.9,184.5015419
7.36,25.28,336.5115694
42.3,135.2,378.4425847
12.16,39.94,133.3521432
0.129,0.38,485.2885002
9.088,17.02,45.28975799
3.264,15.1,185.7804455
11.2,23.04,140.9288798
0.576,1.152,2137.96209
0.203,0.602,516.4163693
1.728,3.2,57.14786367
68.03,84.22,291.0717118
51.65,61.89,174.5822153
0.321,0.656,2074.913517
4.224,11.2,81.65823714
0.123,0.951,450.8167045
30.27,90.11,178.6487575
4.864,7.36,86.89604293
6.4,56.51,195.4339456
6.4,14.21,429.5364268
20.8,42.21,77.8036551
229.8,261.8,111.9437883
12.67,35.33,108.3926914
11.52,19.65,113.5010816
1.92,5.44,175.3880502
0.256,0.456,221.309471
5.568,14.08,290.4022654
0.416,1.954,134.5860354
0.096,0.224,712.8530301
57.76,119.1,213.3044913
36.42,69.5,189.2343619
1.92,2.24,3365.115694
246.5,462,160.3245391
0.256,0.448,454.9880602
0.064,0.064,1383.566379
31.68,70.02,115.3453258
17.89,54.3,126.1827535
3.968,21.12,399.0249024
12.86,20.48,421.6965034
14.62,26.91,127.3503081
8.928,26.4,255.2701303
0.112,0.272,881.048873
9.536,19.33,148.5935642
11.46,29.18,172.9816359
0.448,0.896,86.09937522
0.248,0.608,309.0295433
3.2,8.384,150.6607066
27.46,92.7,152.054753
16.45,22.53,177.827941
0.032,0.088,1603.245391
0.96,2.496,297.1666032
17.54,53.98,114.2878335
7.36,22.14,736.2070975
0.088,0.804,717.7942913
0.024,0.052,622.3002852
11.58,22.46,143.2187899
13.63,31.52,669.8846094
52.74,88.96,251.7676928
37.82,83.1,92.46981739
4.032,12.16,179.8870915
1.696,4.032,70.14552984
0.64,0.96,194.5360082
0.408,1.008,365.5947916
0.232,0.424,239.3315756
0.96,1.28,453.9416167
0.2,0.568,221.309471
27.22,45.33,51.99959965
0.576,1.536,262.4218543
6.336,18.82,141.579378
1.815,4.135,398.1071706
6.464,18.11,195.4339456
0.072,0.256,389.9419867
13.95,52.51,95.94006315
35.71,67.84,328.0952931
0.264,0.496,1071.519305
44.61,81.98,228.5598803
1.627,4.096,52.60172664
0.832,1.92,468.8133821
22.4,50.94,651.6283941
0.128,0.192,293.7649652
6.912,17.86,149.279441
12.99,41.98,176.6037821
6.016,13.92,454.9880602
7.36,20.48,84.9180475
1.792,5.134,72.11074792
60.29,140.1,139.6368361
0.064,0.128,256.4484037
1.472,3.2,352.370871
25.09,64.01,236.0478233
0.576,1.407,3372.873087
33.15,76.26,315.5004623
4.608,11.52,76.38357836
1.846,2.47,685.4882265
13.38,144.9,310.4559588
20.61,86.24,150.3141966
11.14,28.1,125.6029964
0.832,2.776,200.4472027
4.48,13.63,188.7991349
0.192,0.32,79.43282347
100.4,196.6,96.6050879
24.58,33.28,311.8889584
4.16,15.9,176.6037821
4.992,18.4,59.84115951
27.26,62.94,82.79421637
25.12,58.4,297.1666032
12.61,23.68,69.18309709
5.632,28.9,262.4218543
4.736,8.256,234.4228815
33.09,64.29,105.1961874
0.44,0.768,1169.499391
0.096,0.208,1073.989412
11.9,45.89,175.3880502
17.98,35.01,85.90135215
10.37,22.98,69.50243176
2.88,10.11,47.64309868
0.632,1.359,309.0295433
2.208,4.976,88.1048873
1.66,4.352,53.95106225
17.34,41.7,190.9853259
14.4,31.68,62.23002852
7.552,15.87,113.7627286
11.9,35.58,76.55966069
4.48,11.39,127.0574105
0.128,0.176,114.5512941
0.128,0.336,824.138115
20.67,38.08,381.0658234
17.47,36.51,160.6941253
39.17,70.91,179.0605854
0.2,0.512,972.7472238
0.128,0.128,477.5292737
18.91,65.06,104.2317429
24.96,29.18,1101.53931
5.056,15.55,137.4041975
32.19,64.29,60.67363296
0.112,0.359,260.0159563
0.448,1.408,610.9420249
0.112,0.2,388.150366
2.848,10.53,117.7605974
62.85,90.24,104.2317429
56.7,83.07,186.2087137
0.312,0.68,696.6265141
9.12,61.92,51.99959965
0.192,0.256,107.8946722
81.6,194.9,79.43282347
25.98,74.3,473.151259
0.128,0.128,704.693069
3.008,4.8,88.30799004
35.81,89.38,183.2314422
28.13,63.39,292.4152378
6.08,17.79,432.513831
0.128,0.256,519.9959965
8.832,23.68,156.675107
6.208,13.82,284.4461107
51.26,104.4,208.4490883
0.128,0.256,724.4359601
0.448,0.832,62.08690342
7.936,12.86,230.1441817
31.07,55.97,165.1961798
9.216,29.89,116.1448614
0.136,0.256,376.703799
0.064,0.176,2454.708916
9.792,31.81,77.09034691
9.408,24.7,73.79042301
47.23,134.7,363.9150361
15.55,29.47,52.36004366
30.85,48.7,657.6578374
1.088,12.21,416.8693835
0.088,0.296,851.1380382
0.012,0.028,688.6522963
36.29,152.1,230.1441817
6.016,18.88,73.45138682
1.792,3.392,219.2804935
1.728,5.888,139.3156803
0.48,1.443,161.4358557
0.672,1.408,271.6439269
12.29,58.66,172.5837892
14.46,31.3,66.98846094
2.688,25.98,243.2204009
1.152,2.304,208.4490883
0.128,0.256,244.9063242
6.464,16.9,54.57578611
6.336,16.13,166.341265
5.376,12.22,81.65823714
12.48,35.17,193.1968317
10.43,30.59,153.815464
9.344,31.46,36.72823005
0.896,2.176,264.2408757
0.192,0.256,2837.919028
2.547,5.376,456.036916
18.37,55.46,153.815464
11.58,35.71,143.2187899
0.128,0.2,877.0008211
11.65,26.75,1644.371723
0.164,0.188,262.4218543
14.21,33.38,169.8243652
17.28,45.57,81.4704284
4.736,13.7,177.4189481
32.64,57.92,229.0867653
0.32,0.636,412.0975191
22.59,57.66,274.7894153
8.128,21.76,189.2343619
8.96,18.5,174.5822153
87.55,124.9,53.57966575
0.192,0.384,2992.264637
7.872,34.88,119.9499303
3.264,11.33,597.0352866
47.17,64.29,494.310687
1.421,2.029,1135.010816
1.585,5.065,201.8366364
0.192,0.384,144.8771854
2.368,17.86,168.6553025
4.672,11.14,84.72274141
8.064,20.54,158.1248039
8.64,21.76,169.43378
0.056,0.144,273.5268726
0.064,0.064,1636.816521
1.792,4.672,319.889511
26.62,33.22,136.1444682
26.88,181.1,610.9420249
11.26,55.14,289.0679882
13.25,31.65,466.6593803
1.536,1.953,285.7590543
15.23,53.63,413.9996748
0.48,0.872,533.3348955
29.82,45.25,165.9586907
2.304,6.976,691.8309709
0.112,0.232,1389.952631
2.688,8.832,243.7810818
9.024,49.15,465.5860935
0.782,3.214,179.4733627
0.32,0.448,767.3614894
0.064,0.256,201.8366364
1.104,2.41,306.1963434
14.14,30.66,214.2890601
0.064,0.064,555.9042573
105,131.7,228.0342072
0.152,0.392,138.0384265
0.064,0.176,111.6863248
12.83,32.1,988.5530947
0.24,0.581,562.3413252
1.472,3.264,64.26877173
66.05,150.1,341.9794425
0.16,0.68,868.9604293
6.72,11.14,411.1497211
1.88,2.752,122.4616199
0.04,0.064,293.0893245
2.432,7.232,83.17637711
0.437,1.261,93.54056741
0.896,2.24,42.3642966
1.024,2.368,149.6235656
12.48,33.28,319.1537855
5.056,13.98,202.768272
13.18,42.5,572.796031
56.51,119.9,509.3308711
10.08,24.54,163.3051948
1.08,1.463,381.0658234
0.799,1.599,354.8133892
27.04,41.82,263.0267992
16.13,42.62,274.1574172
9.472,30.94,245.4708916
0.044,0.084,222.3309891
28.99,114.1,80.53784412
0.08,0.176,178.2378767
1.843,6.115,95.94006315
20.61,75.9,405.5085354
23.94,51.58,647.1426157
16.06,60.74,739.6052751
0.104,0.288,132.7394458
1.6,3.776,250.6109253
0.144,0.456,110.407862
18.11,28.03,33.11311215
6.72,14.98,216.7704105
3.552,18.14,427.5628862
9.984,28.42,11.96740531
0.128,0.32,2792.543841
19.39,22.91,123.5947433
5.632,10.14,257.6321157
3.968,11.87,38.9045145
0.256,0.448,654.6361741
4.032,20.32,316.9567463
54.78,160.8,143.5489433
108,137.1,160.3245391
7.552,17.15,114.2878335
7.776,34.34,59.02010802
14.08,42.75,495.4501908
13.89,46.5,245.4708916
3.974,9.12,119.1242008
0.192,0.32,835.6030182
2.88,5.184,247.7422058
0.896,3.392,58.21032178
9.408,21.92,65.01296903
48.77,101.2,157.761127
12.99,27.58,80.72350302
2.305,4.864,108.6425624
0.184,0.68,1042.317429
11.2,16.83,262.4218543
28.58,36.9,162.5548756
51.14,88.64,456.036916
0.08,0.2,179.4733627
0.136,0.312,319.1537855
0.261,0.637,244.3430553
0.072,0.24,1116.863248
0.256,0.576,440.5548635
0.088,0.36,238.2319469
1.164,2.884,19.40885878
11.78,32.83,514.0436516
13.7,31.1,95.2796164
1.552,4.032,135.2072563
0.128,0.64,530.8844442
0.256,4.672,622.3002852
4.832,11.23,48.64072057
11.84,16.83,207.4913517
17.66,44.8,924.6981739
15.36,48.58,647.1426157
0.104,0.704,550.8076964
22.14,50.85,125.3141175
9.728,33.06,69.18309709
12.48,29.7,148.2518085
10.75,37.63,477.5292737
8.96,26.88,229.0867653
23.23,49.66,410.204103
6.144,9.92,94.84184633
11.2,26.75,234.9632821
3.392,10.3,5847.900841
30.4,75.55,125.3141175
3.84,11.01,147.2312502
0.042,0.12,2393.315756
1.549,4.285,35.89219346
19.97,44.74,986.2794856
8.064,13.12,234.4228815
35.78,88.45,224.9054606
0.018,0.048,529.6634439
0.28,0.464,1025.651926
1.664,3.635,214.7830474
11.14,25.98,120.503594
100.2,182,285.1018268
0.056,0.104,82.4138115
0.054,0.136,3881.50366
19.26,40.64,77.44617978
9.92,36.32,87.49837752
13.38,34.88,537.0317964
0.088,0.176,736.2070975
8.256,66.98,288.4031503
1.856,4.096,83.94599865
7.488,20.7,257.0395783
26.43,71.33,181.1340093
3.968,8.704,137.4041975
0.028,0.056,435.5118737
17.6,43.2,90.57326009
33.02,43.58,94.40608763
42.5,84.16,170.6082389
0.112,0.224,2046.444637
29.82,48.61,677.6415076
4.928,9.6,179.4733627
4.16,11.26,325.0872974
0.32,1.152,310.4559588
1.984,5.184,249.4594727
4.736,9.472,73.96052751
36.42,89.34,88.51156098
0.32,0.432,1415.79378
2.624,6.976,90.78205302
19.2,45.25,34.35579479
8.384,37.38,268.5344446
14.98,37.06,193.6421964
38.72,53.82,52.60172664
13.38,27.71,287.0780582
13.57,34.5,75.1622894
4.928,10.18,1282.330583
0.464,0.976,1035.142167
0.512,0.896,194.98446
4.032,45.31,271.6439269
0.136,0.232,647.1426157
13.57,35.58,181.5515663
9.664,18.85,87.90225168
0.304,0.792,926.8298234
6.144,13.09,67.14288529
14.14,32.19,392.6449354
8.832,20.13,77.44617978
8.96,18.5,51.2861384
9.472,48.35,69.18309709
14.78,20.74,47.42419853
4.672,13.47,80.90958992
34.46,49.25,59.15616342
4.832,19.55,153.4616983
0.04,0.064,1538.15464
2.24,5.184,138.6755829
2.56,6.08,63.24118514
1.194,2.29,31.55004623
8.448,33.09,341.9794425
1.619,4.147,293.0893245
3.456,6.656,603.9486294
1.323,1.963,454.9880602
0.128,1.793,727.7798045
14.66,32.03,286.417797
1.28,4.928,399.9447498
197.4,300,84.52788452
13.95,18.24,59.84115951
2.432,3.072,325.0872974
2.88,7.488,924.6981739
2.112,5.504,62.95061829
1.856,3.872,66.37430704
6.592,18.08,171.3957308
34.11,57.22,603.9486294
0.088,0.208,897.4287945
9.664,20.13,302.6913428
2.176,6.688,124.7383514
6.144,39.94,557.1857489
16.64,64.06,113.5010816
11.81,83.42,162.5548756
0.128,0.64,470.9773264
16.64,44.83,168.6553025
0.04,0.096,1566.75107
26.27,100.4,318.4197522
20.74,115.3,255.2701303
6.08,20.74,125.6029964
6.72,46.24,110.6623784
6.4,20.93,98.85530947
12.99,45.44,161.4358557
2.688,8.576,36.89775986
34.24,77.06,378.4425847
13.95,54.46,100
46.85,200.7,324.3396173
59.26,84.16,1327.394458
20.16,34.88,84.72274141
60.16,96.58,56.88529308
22.59,63.62,152.7566058
15.17,48.45,272.2701308
0.144,0.61,538.2697825
18.24,54.34,153.4616983
4.352,13.89,734.5138682
6.176,20.19,276.0577856
0.768,1.408,1306.170888
27.01,41.06,51.64163693
1.344,3.392,131.2199899
0.034,0.078,419.758984
9.152,45.82,165.1961798
1.152,5.056,279.2543841
1.216,2.368,4518.559444
7.68,33.41,195.8844674
3.456,43.65,110.407862
77.63,114,244.3430553
0.192,0.256,242.1029047
1.056,2.389,1064.143018
0.096,0.272,557.1857489
12.29,36.1,537.0317964
72.96,108.5,106.4143018
26.4,42.98,111.6863248
0.32,0.512,407.3802778
172,206.3,214.2890601
18.75,42.62,106.6596121
7.936,22.91,333.4264128
11.36,26.72,158.1248039
0.176,0.448,864.9679188
15.87,37.82,149.6235656
32.58,61.95,497.737085
0.02,0.052,228.0342072
0.614,1.254,877.0008211
92.1,152.8,159.5879147
0.04,0.108,113.5010816
20.77,51.68,595.6621435
0.44,1.016,325.836701
0.052,0.116,1435.489433
5.504,40.42,201.8366364
19.81,61.22,151.7050367
0.192,0.384,276.0577856
4.8,13.06,338.8441561
39.1,102.9,119.9499303
16.51,46.34,95.4992586
2.432,5.952,75.8577575
10.05,25.02,127.6438809
0.176,0.344,402.7170343
13.09,39.65,252.3480772
21.63,49.7,39.53666201
5.92,38.43,210.862815
0.88,2.284,516.4163693
4.568,9.728,807.2350302
0.288,0.608,311.8889584
0.02,0.056,275.4228703
15.17,31.84,86.69618758
18.69,67.39,948.4184633
43.46,91.36,171.0015315
21.95,58.56,283.1391996
0.056,0.116,128.2330583
0.012,0.068,508.1594426
26.37,54.34,141.9057522
13.02,37.41,117.7605974
9.472,40,239.8832919
0.168,0.344,1419.057522
89.41,150.8,161.4358557
0.096,0.24,297.8516429
96.51,331.2,261.8183008
136.4,673.8,250.6109253
7.808,17.06,826.0379496
3.36,19.81,342.7677865
4.096,15.94,121.338885
1.152,2.432,1573.982864
0.821,1.461,514.0436516
3.648,9.15,358.0964371
3.776,40.77,325.0872974
30.5,114.5,59.15616342
49.6,67.78,83.75292821
