Results from heasarc_batsegrb: CGRO/BATSE Gamma-Ray Burst Catalog
Coordinate system:  Equatorial
 trigger_num t90      fluence_1  fluence_2  fluence_3  fluence_4  
       06432   32.256 NaN NaN NaN NaN 
       06616   34.688 9.1728e-08 7.4337e-08 3.4988e-07 4.9782e-07 
       07597   52.096 5.2112e-07 5.0000e-07 1.6839e-06 3.4771e-06 
       06236 NaN 9.0575e-09 3.7304e-08 1.3718e-07 3.7427e-07 
       07178   52.416 1.2883e-06 9.5830e-07 1.0732e-06 1.2172e-06 
       02324   92.704 7.1221e-07 1.5880e-06 3.3768e-06 3.0467e-06 
       00704   45.888 3.0997e-07 5.3795e-07 1.9194e-06 1.7792e-06 
       08054   21.248 1.3975e-07 2.2181e-07 6.6494e-07 5.5389e-07 
       05470   30.400 2.7579e-07 4.6065e-07 2.3438e-06 1.8604e-05 
       07780  116.032 1.1860e-07 1.7578e-07 3.2930e-07 6.9599e-07 
       05597   31.168 6.0506e-07 6.3677e-07 2.1354e-06 6.1750e-06 
       02069   48.384 5.3296e-08 6.0510e-08 2.7407e-07 0.0000e+00 
       03516   19.200 5.6107e-07 6.6157e-07 2.6282e-06 4.8172e-06 
       03296 NaN 1.9017e-08 1.4116e-08 4.4231e-08 5.7545e-07 
       05643 NaN NaN NaN NaN NaN 
       06194   35.264 1.7624e-06 1.6135e-06 2.6987e-06 1.8174e-07 
       03166    5.504 2.1952e-07 2.8087e-07 4.3181e-07 0.0000e+00 
       02985   31.104 2.4566e-07 4.3236e-07 1.0180e-06 0.0000e+00 
       08082   10.112 5.3407e-08 7.0968e-08 3.9480e-07 1.1024e-06 
       07472    1.958 4.0018e-08 6.2990e-08 6.5834e-07 3.0077e-06 
       03347   61.216 8.2568e-07 7.0671e-07 2.0671e-06 2.2031e-06 
       03102   37.056 6.9540e-07 1.2224e-06 4.6470e-06 2.7468e-06 
       00226  221.184 2.1662e-06 3.2057e-06 9.4294e-06 2.4648e-05 
       07813    0.564 1.0639e-07 7.9730e-08 1.5033e-07 2.0823e-07 
       06578   68.352 2.9078e-07 6.6051e-07 1.5876e-06 0.0000e+00 
       02252   35.328 3.6365e-07 4.7352e-07 1.4918e-06 0.0000e+00 
       01647 NaN NaN NaN NaN NaN 
       03091    9.472 4.7818e-07 5.3142e-07 9.2143e-07 1.5721e-07 
       06674   86.336 9.6880e-07 9.3721e-07 2.2104e-06 1.7013e-06 
       03044 NaN 5.0096e-07 4.6104e-07 1.1270e-06 3.2355e-05 
       06582    7.040 4.2612e-07 2.4865e-07 3.6006e-07 1.3729e-07 
       00297    0.960 1.4867e-08 3.3207e-08 1.5530e-07 8.6784e-07 
       01465 NaN 5.1814e-08 8.5778e-08 2.9903e-07 5.9218e-07 
       07579   15.808 7.5503e-08 3.0145e-07 1.1731e-06 3.1713e-07 
       02591 NaN NaN NaN NaN NaN 
       05212    0.384 5.1889e-09 2.1877e-08 1.3925e-07 5.6832e-07 
       01662    0.419 8.7785e-09 1.0132e-08 2.6657e-08 9.4368e-08 
       02206    0.602 7.0019e-09 1.3665e-08 1.2106e-07 1.7381e-07 
       07868  112.192 2.9259e-06 3.9909e-06 1.1719e-05 9.8051e-06 
       07834 NaN NaN NaN NaN NaN 
       07609   52.416 9.2459e-07 1.4283e-06 2.4480e-06 0.0000e+00 
       03298 NaN NaN NaN NaN NaN 
       03766  134.496 4.2055e-07 5.4588e-07 1.6445e-06 1.6650e-06 
       04216   25.472 6.5818e-07 5.0053e-07 1.2691e-06 3.2118e-06 
       06230    1.280 1.3484e-08 1.7786e-08 9.8424e-08 2.7827e-07 
       03104 NaN NaN NaN NaN NaN 
       06564   30.720 6.1626e-07 7.3304e-07 1.4424e-06 1.3177e-06 
       07344    0.364 1.2948e-08 1.3233e-08 1.2781e-07 1.3849e-06 
       06634    0.583 6.7460e-08 0.0000e+00 1.1709e-07 4.6605e-08 
       01481    1.408 6.1755e-08 3.8342e-08 8.4193e-08 0.0000e+00 
       06635    1.152 4.5043e-07 2.9102e-07 4.8617e-07 8.7454e-07 
       07580   66.560 3.2796e-07 2.3837e-07 2.5142e-07 4.3581e-07 
       07527  253.952 2.1851e-06 3.2713e-06 1.2513e-05 2.2935e-05 
       04776    0.448 2.8809e-08 4.8194e-08 3.0391e-07 1.3830e-06 
       07150 NaN NaN NaN NaN NaN 
       02798   49.152 4.0022e-06 1.3225e-05 6.5986e-05 1.4808e-04 
       07872   36.864 2.0009e-07 1.1214e-07 3.2435e-07 3.7012e-06 
       08073   33.024 7.4171e-08 1.3034e-07 3.7369e-07 8.5876e-07 
       05514 NaN 7.8404e-08 2.5751e-08 1.2841e-08 1.9146e-07 
       06425    8.896 1.0360e-07 1.3813e-07 4.3881e-07 7.6100e-07 
       06294 NaN 1.9210e-07 2.4480e-07 3.5996e-07 0.0000e+00 
       03286    2.368 0.0000e+00 5.4083e-09 5.0701e-08 1.3418e-06 
       03088    5.184 7.5643e-08 1.1550e-07 1.1181e-07 9.2167e-07 
       07751 NaN NaN NaN NaN NaN 
       07465 NaN NaN NaN NaN NaN 
       00685   72.512 3.5222e-07 3.1021e-07 1.2106e-07 4.2096e-07 
       05731   60.032 3.3646e-06 2.7465e-06 6.9743e-06 8.6766e-06 
       01458   81.728 4.4265e-07 5.8177e-07 6.8263e-07 3.3942e-07 
       07647 NaN 9.7849e-07 6.1549e-07 4.1631e-06 4.3174e-05 
       03499 NaN NaN NaN NaN NaN 
       01954 NaN NaN NaN NaN NaN 
       06309   22.656 5.1221e-07 3.0541e-07 6.6472e-07 8.3325e-07 
       03618   90.176 9.8989e-07 1.9166e-06 7.8005e-06 7.3317e-06 
       06359 NaN NaN NaN NaN NaN 
       00465   13.824 8.7162e-08 6.1648e-08 2.3565e-07 0.0000e+00 
       07517   48.064 5.9499e-08 6.2786e-08 1.2092e-07 0.0000e+00 
       07446   13.568 6.7401e-07 7.6643e-07 1.9548e-06 1.7519e-06 
       00543    4.864 6.0751e-07 1.3739e-06 3.0237e-06 2.7225e-06 
       02975    0.240 4.6372e-09 9.2942e-09 5.5704e-08 5.0062e-07 
       03029   44.736 5.4961e-08 1.9993e-07 1.3251e-06 7.3013e-06 
       06700    0.192 8.4129e-09 5.3470e-09 9.6371e-08 7.1734e-07 
       05575   12.800 1.3204e-06 1.2297e-06 3.0709e-06 5.8346e-06 
       07932   67.392 3.3041e-06 3.4053e-06 7.6294e-06 8.6065e-06 
       02146    0.248 5.0523e-09 6.0834e-09 7.3025e-08 2.8694e-07 
       01307 NaN 6.4145e-08 1.5101e-07 4.7292e-07 2.7947e-06 
       02108 NaN NaN NaN NaN NaN 
       01541   26.240 5.2637e-06 1.0673e-05 4.2438e-05 8.0073e-05 
       06487    9.408 6.3376e-08 5.4752e-08 8.1921e-08 0.0000e+00 
       03860   31.488 9.6644e-07 1.9634e-06 1.1904e-05 5.3697e-05 
       02953   16.832 2.8276e-06 4.4508e-06 1.5153e-05 2.7030e-05 
       07526    1.973 4.1145e-09 1.1039e-08 9.0069e-08 6.8816e-07 
       06320   57.984 1.3069e-06 1.0919e-06 1.9046e-06 7.8345e-09 
       03267   54.336 2.2631e-07 3.8074e-07 1.0367e-06 6.8047e-07 
       03229   20.736 1.3348e-07 1.8131e-07 1.8644e-07 4.9594e-07 
       07745    3.264 3.3520e-08 6.5986e-08 1.0564e-07 3.4246e-07 
       06985 NaN 5.3452e-06 6.6437e-06 2.8013e-05 5.9186e-05 
       03890   12.224 2.1632e-07 3.3638e-07 5.0579e-07 2.5865e-07 
       00516   12.672 3.5412e-07 3.1985e-07 3.0207e-07 1.7449e-07 
       07990 NaN NaN NaN NaN NaN 
       07678   42.752 4.9106e-06 7.0401e-06 3.0869e-05 7.0963e-05 
       02484   11.392 3.0230e-07 4.9721e-07 1.7565e-06 0.0000e+00 
       05423   13.312 1.3605e-07 1.2120e-07 2.3341e-07 8.0905e-08 
       06630   23.552 3.4250e-06 3.0786e-06 1.0026e-05 1.3155e-05 
       07864 NaN NaN NaN NaN NaN 
       05554   79.296 4.8668e-07 7.6744e-07 3.0239e-06 8.7711e-06 
       05482  253.280 2.0592e-06 2.6621e-06 7.1928e-06 6.6752e-06 
       03103   53.824 5.3370e-07 6.1214e-07 7.7891e-07 0.0000e+00 
       02751   20.544 1.6653e-07 2.4752e-07 7.0146e-07 5.1769e-07 
